filename,title,doi,journal,year,paper_type,battery_subfield,score,verdict,num_targets,num_chemicals,num_synthesis_steps,num_operations,num_characterization,num_char_results,num_analysis_methods,num_ambiguities,has_yield,has_capacity,has_cycle_life
Hai_et_al__-_2009_-_Electromotive_force_and_huge_magnetoresistance_in__reactions.json,Electromotive force and huge magnetoresistance in magnetic tunnel junctions,10.1038/nature07879,Nature,2009,materials synthesis and device fabrication,other/general,86.73,Good,2,7,10,12,3,3,2,0,False,False,False
Hakimian_et_al__-_2015_-_Economic_analysis_of_CNT_lithium-ion_battery_manuf_reactions.json,Economic analysis of CNT lithium-ion battery manufacturing,10.1039/c5en00078,Environmental Science: Nano,2015,research article,cathode,92.23,Excellent,2,10,9,11,2,10,0,2,False,False,True
Hamad_and_Hu_-_2011_-_The_effect_of_defects_on_the_electronic_and_magnet_reactions.json,The effect of defects on the electronic and magnetic properties of Fe2MnSi Heusler alloy,10.1002/pssb.201147305,physica status solidi (b),2011,computational study,computational/ML,87.5,Good,1,3,0,0,1,31,1,0,False,False,False
Han_et_al__-_2015_-_A_Battery_Made_from_a_Single_Material_reactions.json,A Battery Made from a Single Material,10.1002/adma.201500180,Advanced Materials,2015,research article,solid-state electrolyte,94.74,Excellent,2,10,4,6,6,12,1,1,False,True,False
Han_et_al__-_2015_-_A_comprehensive_review_of_sodium_layered_oxides_p_reactions.json,A comprehensive review of sodium layered oxides: powerful cathodes for Na-ion batteries,10.1039/c4ee03192j,Energy & Environmental Science,2015,review_article,cathode,98.41,Excellent,4,1,0,0,10,13,0,1,False,False,False
Han_et_al__-_2017_-_From_Coating_to_Dopant_How_the_Transition_Metal_C_reactions.json,From Coating to Dopant: How the Transition Metal Composition Affects Alumina Coatings on Ni-Rich Cathodes,10.1021/acsami.7b13597,ACS Applied Materials & Interfaces,2017,materials synthesis and characterization,cathode,99.16,Excellent,3,12,7,8,6,0,1,2,False,False,False
Hanada_et_al__-_2022_-_DFT-Based_investigation_of_Amic_Acid_extractants_a_reactions.json,DFT-Based investigation of Amic–Acid extractants and their application to the recovery of Ni and Co from spent automotive Lithium–Ion batteries,10.1016/j.seppur.2021.119898,Separation and Purification Technology,2022,research-article,recycling,98.85,Excellent,4,11,2,2,2,7,1,1,True,False,False
Hao_et_al__-_2019_-_Taming_Active_Material-Solid_Electrolyte_Interface_reactions.json,Taming Active Material-Solid Electrolyte Interfaces with Organic Cathode for All-Solid-State Batteries,10.1016/j.joule.2019.03.017,Joule,2019,research article,solid-state electrolyte,79.78,Good,3,8,5,12,4,5,1,3,False,True,True
Hao_et_al__-_2020_-_An_In_Depth_Study_of_Zn_Metal_Surface_Chemistry_fo_reactions.json,An In-Depth Study of Zn Metal Surface Chemistry for Advanced Aqueous Zn-Ion Batteries,10.1002/adma.202003021,Advanced Materials,2020,materials synthesis and electrochemistry,anode,98.41,Excellent,1,5,2,4,6,11,1,1,False,True,True
Hargreaves_et_al__-_2023_-_A_database_of_experimentally_measured_lithium_soli_reactions.json,A database of experimentally measured lithium solid electrolyte conductivities evaluated with machine learning,10.1038/s41524-022-00951-z,npj Computational Materials,2023,research article,solid-state electrolyte,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Harper_et_al__-_2019_-_Recycling_lithium-ion_batteries_from_electric_vehi_reactions.json,Recycling lithium-ion batteries from electric vehicles,10.1038/s41586-019-1682-5,Nature,2019,review,recycling,98.68,Excellent,4,7,4,4,1,0,1,2,False,False,False
Hart_and_Forcade_-_2008_-_Algorithm_for_generating_derivative_structures_reactions.json,Algorithm for generating derivative structures,10.1103/PhysRevB.77.224115,Physical Review B,2008,computational methodology,other/general,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Haruyama_et_al__-_2014_-_Space_Charge_Layer_Effect_at_Interface_between_Oxi_reactions.json,Supporting Information for: Space-Charge Layer Effect at Interface between Oxide Cathode and Sulfide Electrolyte in All Solid-State Lithium-Ion Battery,,,,computational study,solid-state electrolyte,97.5,Excellent,3,3,0,0,1,14,2,1,False,False,False
Haruyama_et_al__-_2017_-_Cation_Mixing_Properties_toward_Co_Diffusion_at_th_reactions.json,Cation Mixing Properties toward Co Diffusion at the LiCoO2 Cathode/ Sulfide Electrolyte Interface in a Solid-State Battery,10.1021/acsami.6b08435,ACS Applied Materials & Interfaces,2017,computational study,solid-state electrolyte,85.0,Good,0,6,0,0,1,3,1,0,False,False,False
Haslam_et_al__-_2022_-_The_effect_of_aspect_ratio_on_the_mechanical_behav_reactions.json,The effect of aspect ratio on the mechanical behavior of Li metal in solid-state cells,10.1016/j.jpowsour.2021.230831,Journal of Power Sources,2022,materials_synthesis_and_mechanical_testing,solid-state electrolyte,98.65,Excellent,2,5,6,10,3,4,1,2,False,False,False
Hausbrand_et_al__-_2015_-_Fundamental_degradation_mechanisms_of_layered_oxid_reactions.json,"Fundamental degradation mechanisms of layered oxide Li-ion battery cathode materials: Methodology, insights and novel approaches",10.1016/j.mseb.2014.11.014,Materials Science and Engineering B,2015,review,solid-state electrolyte,98.67,Excellent,4,6,4,4,2,4,0,2,False,False,False
Hautier_et_al__-_2011_-_Phosphates_as_Lithium-Ion_Battery_Cathodes_An_Eva_reactions.json,Phosphates as Lithium-Ion Battery Cathodes: An Evaluation Based on High-Throughput ab Initio Calculations,10.1021/cm200949v,Chemistry of Materials,2011,computational study,cathode,96.97,Excellent,5,0,0,0,0,0,1,0,False,False,False
Haverkate_et_al__-_2010_-_Large_Space_Charge_Effects_in_a_Nanostructured_Pro_reactions.json,Large Space-Charge Effects in a Nanostructured Proton Conductor,10.1002/adfm.201000692,Advanced Functional Materials,2010,research article,other/general,94.74,Excellent,1,3,0,0,3,9,0,1,False,False,False
Hayashi_et_al__-_2019_-_A_sodium-ion_sulfide_solid_electrolyte_with_unprec_reactions.json,A sodium-ion sulfide solid electrolyte with unprecedented conductivity at room temperature,10.1038/s41467-019-13178-2,Nature Communications,2019,research article,solid-state electrolyte,84.88,Good,2,5,6,6,7,13,1,2,False,False,False
He_et_al__-_2017_-_Origin_of_fast_ion_diffusion_in_super-ionic_conduc_reactions.json,Origin of fast ion diffusion in super-ionic conductors,10.1038/ncomms15893,Nature Communications,2017,computational study,ion transport,98.46,Excellent,5,5,0,0,4,11,1,0,False,False,False
He_et_al__-_2019_-_Density_Functional_Theory_for_Battery_Materials_reactions.json,Density Functional Theory for Battery Materials,10.1002/eem2.12056,Energy Environ. Mater.,2019,review,computational/ML,100.0,Excellent,0,0,0,0,0,0,4,0,False,False,False
He_et_al__-_2020_-_The_intrinsic_behavior_of_lithium_fluoride_in_soli_reactions.json,The intrinsic behavior of lithium fluoride in solid electrolyte interphases on lithium,10.1073/pnas.1911017116,Proceedings of the National Academy of Sciences,2020,research article,solid-state electrolyte,98.78,Excellent,2,6,4,4,7,13,1,2,False,False,False
Hoang_and_Johannes_-_2014_-_Defect_chemistry_in_layered_transition-metal_oxide_reactions.json,Defect chemistry in layered transition-metal oxides from screened hybrid density functional calculations,10.1039/c4ta00673a,Journal of Materials Chemistry A,2014,computational study,cathode,98.15,Excellent,2,3,3,3,3,10,2,2,False,False,False
Hodge_et_al__-_1976_-_Ionic_Conductivity_of_Li4SiO4__Li4GeO4__and_Their__reactions.json,"Ionic Conductivity of Li4SiO4, Li4GeO4, and Their Solid Solutions",,Journal of the American Ceramic Society,1976,materials_synthesis_study,solid-state electrolyte,81.94,Good,3,5,6,6,1,1,1,3,False,False,False
Hoenle_and_Simon_-_1986_-_Darstellung_und_Kristallstrukturen_von_Li_Ga_Br4_u_reactions.json,Preparation and Crystal Structure of LiGaBr4 and LiGaBr3,,Zeitschrift für Naturforschung B,1986,research-article,other/general,98.65,Excellent,2,4,7,9,3,4,0,4,False,False,False
Homma_et_al__-_2011_-_Crystal_structure_and_phase_transitions_of_the_lit_reactions.json,Crystal structure and phase transitions of the lithium ionic conductor Li3PS4,10.1016/j.ssi.2010.10.001,Solid State Ionics,2011,research-article,solid-state electrolyte,85.96,Good,1,4,3,5,4,11,1,2,False,False,False
Hong_et_al__-_2017_-_Two-dimensional_lithium_diffusion_behavior_and_pro_reactions.json,Two-dimensional lithium diffusion behavior and probable hybrid phase transformation kinetics in olivine lithium iron phosphate,10.1038/s41467-017-01315-8,Nature Communications,2017,research-article,cathode,95.29,Excellent,1,7,7,9,4,8,1,3,False,False,False
Hong_et_al__-_2022_-_All-Solid-State_Lithium_Batteries_Li___reactions.json,All-Solid-State Lithium Batteries: Li+-Conducting Ionomer Binder for Dry-Processed Composite Cathodes,10.1021/acsenergylett.1c02756,ACS Energy Letters,2022,research-article,solid-state electrolyte,83.58,Good,2,5,2,2,6,10,3,2,False,True,True
Hongahally_Basappa_et_al__-_2017_-_Grain_boundary_modification_to_suppress_lithium_pe_reactions.json,Grain boundary modification to suppress lithium penetration through garnet-type solid electrolyte,10.1016/j.jpowsour.2017.07.088,Journal of Power Sources,2017,research article,solid-state electrolyte,95.65,Excellent,3,13,10,10,7,12,1,3,False,False,False
Hou_et_al__-_2019_-_Direct_and_Indirect_Recycling_Strategies_of_Expire_reactions.json,Direct and Indirect Recycling Strategies of Expired Oxytetracycline for the Anode Material in Lithium Ion Batteries,10.3389/fmats.2019.00080,Frontiers in Materials,2019,materials_synthesis,anode,89.29,Good,2,11,8,10,5,11,4,2,False,True,True
Hsueh_et_al__-_2023_-_Sputtered_silver_on_the_current_collector_for_anod_reactions.json,Sputtered silver on the current collector for anode-less NMC111 gel polymer electrolyte lithium batteries,10.1016/j.elecom.2023.107478,Electrochemistry Communications,2023,short communication,cathode,76.4,Good,3,8,5,5,4,10,0,2,False,False,True
Hu_et_al__-_2015_-_Recycling_Application_of_Li-MnO_2_Batte_reactions.json,Recycling Application of Li–MnO2 Batteries as Rechargeable Lithium–Air Batteries,10.1002/anie.201411626,Angewandte Chemie International Edition,2015,research-article,recycling,98.28,Excellent,5,10,7,15,5,6,1,2,False,True,True
Hu_et_al__-_2020_-_Structure_and_performance_of_the_LiFePO_4su_reactions.json,Structure and performance of the LiFePO4 cathode material: from the bulk to the surface,10.1039/d0nr03776a,Nanoscale,2020,minireview,cathode,80.36,Good,2,6,2,2,1,2,1,2,False,True,False
Huang_and_Cole_-_2020_-_A_database_of_battery_materials_auto-generated_usi_reactions.json,A database of battery materials auto-generated using ChemDataExtractor,https://doi.org/10.1038/s41597-020-00602-2,Scientific Data,2020,data descriptor,other/general,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Huang_et_al__-_2015_-_Permselective_Graphene_Oxide_Membrane_for_Highly_S_reactions.json,Permselective Graphene Oxide Membrane for Highly Stable and Anti-Self-Discharge Lithium–Sulfur Batteries,10.1021/nn507178a,ACS Nano,2015,materials_synthesis,separator,96.88,Excellent,1,11,5,7,5,6,1,0,False,True,False
Huang_et_al__-_2020_-_A_dual-ion_battery_has_two_sides_the_effect_of_io_reactions.json,A dual-ion battery has two sides: the effect of ion-pairs,10.1039/d0cc03951a,Chemical Communications,2020,research-article,electrolyte (liquid/polymer),98.82,Excellent,4,7,4,4,4,4,1,2,False,True,False
Huang_et_al__-_2020_-_Enhanced_Performance_of_Li_6_4_La__reactions.json,Enhanced Performance of Li6.4La3Zr1.4Ta0.6O12 Solid Electrolyte by the Regulation of Grain and Grain Boundary Phases,10.1021/acsami.0c18674,ACS Applied Materials & Interfaces,2020,research article,solid-state electrolyte,97.78,Excellent,1,7,6,15,7,11,1,1,False,False,False
Huang_et_al__-_2021_-_Deep_potential_generation_scheme_and_simulation_pr_reactions.json,Deep potential generation scheme and simulation protocol for the Li10GeP2S12-type superionic conductors,10.1063/5.0041849,Journal of Chemical Physics,2021,computational study,solid-state electrolyte,100.0,Excellent,3,0,0,0,1,0,1,0,False,False,False
Hunter_and_Beyerlein_-_2014_-_Stacking_fault_emission_from_grain_boundaries_Mat_reactions.json,Stacking fault emission from grain boundaries: Material dependencies and grain size effects,10.1016/j.msea.2014.02.030,Materials Science & Engineering A,2014,research article,computational/ML,100.0,Excellent,0,6,0,0,3,61,1,1,False,False,False
Hussain_et_al__-_2020_-_Robust_TiN_nanoparticles_polysulfide_anchor_for_Li_reactions.json,Robust TiN nanoparticles polysulfide anchor for Li–S storage and diffusion pathways using first principle calculations,10.1016/j.cej.2019.123595,Chemical Engineering Journal,2020,research-article,ion transport,80.82,Good,2,4,3,3,8,18,1,3,False,True,True
Ikeda_and_Chiang_-_1993_-_Space_Charge_Segregation_at_Grain_Boundaries_in_Ti_reactions.json,"Space Charge Segregation at Grain Boundaries in Titanium Dioxide: I, Relationship between lattice Defect Chemistry and Space Charge Potential",,Journal of the American Ceramic Society,1993,theoretical study,other/general,81.82,Good,1,4,0,0,0,0,1,0,False,False,False
Inagaki_et_al__-_2019_-_Conduction_Mechanism_of_Li_10_GeP__reactions.json,Conduction Mechanism of Li10GeP2S12-type Lithium Superionic Conductors in a Li−Sn−Si−P−S System,10.1021/acs.chemmater.9b00743,Chemistry of Materials,2019,materials_synthesis,solid-state electrolyte,98.72,Excellent,3,5,6,7,3,5,1,3,False,False,False
Islam_and_Fisher_-_2014_-_Lithium_and_sodium_battery_cathode_materials_comp_reactions.json,"Lithium and sodium battery cathode materials: computational insights into voltage, diffusion and nanostructural properties",10.1039/c3cs60199d,Chemical Society Reviews,2014,review article,cathode,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Islam_et_al__-_2017_-_DFT_Study_on_the_Li_Mobility_in_Li-Ion-Based_Solid_reactions.json,DFT Study on the Li Mobility in Li-Ion-Based Solid-State Electrolytes,10.1557/adv.201.37,MRS Advances,,computational study,solid-state electrolyte,97.8,Excellent,3,7,5,5,6,14,0,2,False,False,False
Jalem_et_al__-_2018_-_Bayesian-Driven_First-Principles_Calculations_for__reactions.json,Bayesian-Driven First-Principles Calculations for Accelerating Exploration of Fast Ion Conductors for Rechargeable Battery Application,10.1038/s41598-018-23852-y,Scientific Reports,2018,computational screening,solid-state electrolyte,100.0,Excellent,6,6,0,0,3,12,1,0,False,False,False
Janek_and_Zeier_-_2023_-_Challenges_in_speeding_up_solid-state_battery_deve_reactions.json,Challenges in speeding up solid-state battery development,10.1038/s41560-023-01208-9,Nature Energy,2023,review,solid-state electrolyte,100.0,Excellent,0,0,0,0,0,0,2,0,False,False,False
Jayaprakash_et_al__-_2011_-_The_rechargeable_aluminum-ion_battery_reactions.json,The rechargeable aluminum-ion battery,10.1039/c1cc15779e,Chemical Communications,2011,communication,electrolyte (liquid/polymer),99.15,Excellent,1,13,9,12,4,8,2,0,False,True,True
Ji_et_al__-_2019_-_Lithium_intercalation_into_bilayer_graphene_reactions.json,Lithium intercalation into bilayer graphene,10.1038/s41467-018-07942-z,Nature Communications,2019,research article,other/general,75.93,Good,1,13,6,8,5,9,1,2,False,True,False
Jiang_et_al__-_2021_-_All-dry_synthesis_of_self-supporting_thin_Li10GeP2_reactions.json,All-dry synthesis of self-supporting thin Li10GeP2S12 membrane and interface engineering for solid state lithium metal batteries,10.1016/j.cej.2021.129965,Chemical Engineering Journal,2021,research-article,solid-state electrolyte,96.55,Excellent,3,13,6,11,5,4,2,3,False,True,True
Jiao_et_al__-_2022_-_Recycling_spent_LiNi_1-x-y_Mn_xs_reactions.json,Recycling spent LiNi1-x-yMnxCoyO2 cathodes to bifunctional NiMnCo catalysts for zinc-air batteries,10.1073/pnas.2202202119,Proceedings of the National Academy of Sciences,2022,research article,cathode,80.25,Good,1,7,6,8,4,7,1,2,False,True,True
Jin_et_al__-_2020_-_Polyanion-type_cathode_materials_for_sodium-ion_ba_reactions.json,Polyanion-type cathode materials for sodium-ion batteries,10.1039/c9cs00846b,Chemical Society Reviews,2020,review article,cathode,97.22,Excellent,1,2,2,2,1,1,0,1,False,True,True
Jo_et_al__-_2023_-_Feasible_approaches_for_anode-free_lithium-metal_b_reactions.json,Feasible approaches for anode-free lithium-metal batteries as next generation energy storage systems,10.1016/j.ensm.2023.02.040,Energy Storage Materials,2023,review_article,anode,97.59,Excellent,3,10,3,3,2,3,0,2,False,False,False
Johansen_et_al__-_2015_-_Aluminum_Migration_and_Intrinsic_Defect_Interactio_reactions.json,Aluminum Migration and Intrinsic Defect Interaction in Single-Crystal Zinc Oxide,10.1103/PhysRevApplied.3.024003,Physical Review Applied,2015,materials synthesis and diffusion study,ion transport,98.7,Excellent,2,7,4,17,4,6,1,2,False,False,False
Jonderian_and_McCalla_-_2021_-_The_role_of_metal_substitutions_in_the_development_reactions.json,"The role of metal substitutions in the development of Li batteries, part II: solid electrolytes",10.1039/d1ma00082a,Materials Advances,2021,review article,solid-state electrolyte,98.08,Excellent,2,4,3,3,1,2,0,2,False,False,False
Kahle_et_al__-_2020_-_High-throughput_computational_screening_for_solid-_reactions.json,High-throughput computational screening for solid-state Li-ion conductors,,,2020,supplementary_information,ion transport,100.0,Excellent,0,0,0,0,2,2,2,0,False,False,False
Kahle_et_al__-_2020_-_The_solid-state_Li-ion_conductor_Li7TaO6_A_combin_reactions.json,The solid-state Li-ion conductor Li7TaO6: A combined computational and experimental study,10.1016/j.ssi.2020.115226,Solid State Ionics,2020,research article,solid-state electrolyte,98.99,Excellent,4,7,6,7,6,7,2,2,False,False,False
Kaland_et_al__-_2020_-_Are_MXenes_suitable_as_cathode_materials_for_recha_reactions.json,Are MXenes suitable as cathode materials for rechargeable Mg batteries?,10.1039/d0se00087f,Sustainable Energy & Fuels,2020,research article,cathode,95.56,Excellent,2,12,3,5,3,4,1,2,False,True,False
Kalantar-Zadeh_et_al__-_2021_-_Low_Melting_Temperature_Liquid_Metals_and_Their_Im_reactions.json,Low Melting Temperature Liquid Metals and Their Impacts on Physical Chemistry,10.1021/accountsmr.1c00143,Accounts of Materials Research,2021,review,other/general,100.0,Excellent,2,5,0,0,0,0,0,0,False,False,False
Kamaya_et_al__-_2011_-_A_lithium_superionic_conductor_reactions.json,A lithium superionic conductor,10.1038/NMAT3066,Nature Materials,2011,research article,solid-state electrolyte,89.09,Good,2,9,8,10,7,13,1,3,False,True,False
Kanehori_et_al__-_1983_-_Thin_film_solid_electrolyte_and_its_application_to_reactions.json,THIN FILM SOLID ELECTROLYTE AND ITS APPLICATION TO SECONDARY LITHIUM CELL,,Solid State Ionics,1983,materials synthesis and electrochemistry,solid-state electrolyte,98.95,Excellent,3,9,4,4,6,13,1,1,False,False,True
Kanno_-_2000_-_Synthesis_of_a_new_lithium_ionic_conductor__thio-L_reactions.json,"Synthesis of a new lithium ionic conductor, thio-LISICON – lithium germanium sulfide system",,Solid State Ionics,2000,research article,other/general,86.9,Good,5,4,5,5,5,5,1,3,False,True,False
Kanno_et_al__-_PHASE_TRANSITION_OF_THE_SOLID_LITHIUM_ION_CONDUCTO_reactions.json,"PHASE TRANSITION OF THE SOLID LITHIUM ION CONDUCTOR WITH THE SPINEL STRUCTURE: Li2−2xM1+xCl4 (M = Mg, Mn)",,Solid State Ionics,1986,research-article,cathode,98.48,Excellent,2,5,4,4,3,7,1,2,False,False,False
Kasamatsu_et_al__-_2011_-_Theoretical_analysis_of_space_charge_layer_formati_reactions.json,Theoretical analysis of space charge layer formation at metal/ionic conductor interfaces,10.1016/j.ssi.2010.11.022,Solid State Ionics,2011,computational study,interface/interphase,91.43,Excellent,1,3,0,0,2,2,1,0,False,False,False
Kasemchainan_et_al__-_2019_-_Critical_stripping_current_leads_to_dendrite_forma_reactions.json,Critical stripping current leads to dendrite formation on plating in lithium anode solid electrolyte cells,10.1038/s41563-019-0438-9,Nature Materials,2019,materials synthesis,solid-state electrolyte,79.35,Good,1,6,9,12,5,4,1,2,False,False,False
Kato_et_al__-_2016_-_High-power_all-solid-state_batteries_using_sulfide_reactions.json,High-power all-solid-state batteries using sulfide superionic conductors,10.1038/NENERGY.2016.30,Nature Energy,2016,materials synthesis and electrochemistry,solid-state electrolyte,78.76,Good,3,11,8,16,4,4,0,2,False,False,False
Katzenmeier_et_al__-_2021_-_Properties_of_the_Space_Charge_Layers_Formed_in_Li_reactions.json,Properties of the Space Charge Layers Formed in Li-Ion Conducting Glass Ceramics,10.1021/acsami.0c21304,ACS Applied Materials & Interfaces,2021,research article,solid-state electrolyte,90.14,Excellent,1,5,4,4,6,16,1,2,False,False,False
Katzenmeier_et_al__-_Properties_of_the_Space_Charge_Layers_Formed_in_Li_reactions.json,Properties of the Space Charge Layers Formed in Li-Ion Conducting Glass Ceramics,,,,supporting_information,other/general,96.88,Excellent,1,3,0,0,1,24,0,1,False,False,False
Kaup_et_al__-_2018_-_Correlation_of_Structure_and_Fast_Ion_Conductivity_reactions.json,Correlation of Structure and Fast Ion Conductivity in the Solid Solution Series Li 1+2xZn1−xPS4,10.1021/acs.chemmater.7b05108,Chemistry of Materials,2018,communication,solid-state electrolyte,98.44,Excellent,3,3,3,3,5,12,1,2,False,False,False
Kc_et_al__-_2014_-_Point_defects_in_garnet-type_solid_electrolyte__c-_reactions.json,Point defects in garnet-type solid electrolyte (c-Li7La3Zr2O12) for Li-ion batteries,10.1016/j.ssi.2014.04.021,Solid State Ionics,2014,computational study,solid-state electrolyte,96.3,Excellent,1,1,0,0,2,2,1,0,False,False,False
Kerisit_et_al__-_2014_-_Shell_Model_for_Atomistic_Simulation_of_Lithium_Di_reactions.json,Shell Model for Atomistic Simulation of Lithium Diffusion in Mixed Mn/Ti Oxides,10.1021/jp506025k,Journal of Physical Chemistry C,2014,computational study,ion transport,82.86,Good,1,3,0,0,2,5,1,1,False,False,False
Kim_-_2020_-_Investigation_of_material__chemical__and_electroch_reactions.json,"Investigation of material, chemical, and electrochemical properties of Li10SiP2S12-xOx and Li10[SnySi1-y]P2S12-xOx solid electrolytes",,,2020,PhD dissertation,solid-state electrolyte,99.0,Excellent,2,11,5,5,5,5,1,1,False,False,False
Kim_and_Amine_-_2002_-_A_comparative_study_on_the_substitution_of_divalen_reactions.json,,,,,,other/general,100.0,Excellent,0,0,0,0,0,0,0,1,False,False,False
Kim_et_al__-_2014_-_All-graphene-battery_bridging_the_gap_between_sup_reactions.json,All-graphene-battery: bridging the gap between supercapacitors and lithium ion batteries,10.1038/srep05278,Scientific Reports,2014,materials_synthesis,cathode,80.92,Good,3,16,6,13,6,20,1,2,False,True,True
Kim_et_al__-_2014_-_Novel_transition-metal-free_cathode_for_high_energ_reactions.json,Novel transition-metal-free cathode for high energy and power sodium rechargeable batteries,10.1016/j.nanoen.2013.12.009,Nano Energy,2014,research article,cathode,77.67,Good,2,14,5,7,2,5,1,3,False,True,True
Kim_et_al__-_2015_-_A_review_of_lithium_and_non-lithium_based_solid_st_reactions.json,A review of lithium and non-lithium based solid state batteries,10.1016/j.jpowsour.2015.02.054,Journal of Power Sources,2015,review article,solid-state electrolyte,98.7,Excellent,2,7,4,6,4,4,0,2,False,False,False
Kim_et_al__-_2017_-_Electrochemical_lithium_intercalation_behavior_of__reactions.json,Electrochemical lithium intercalation behavior of pristine and milled hexagonal boron nitride,10.1016/j.jelechem.2017.06.017,Journal of Electroanalytical Chemistry,2017,research-article,anode,80.37,Good,3,12,4,6,6,19,1,1,False,False,False
Kim_et_al__-_2017_-_Progress_in_the_Development_of_Sodium-Ion_Solid_El_reactions.json,Progress in the Development of Sodium-Ion Solid Electrolytes,10.1002/smtd.201700219,Small Methods,2017,review article,solid-state electrolyte,98.31,Excellent,2,6,2,8,2,3,1,1,False,True,True
Kim_et_al__-_2017_-_Reduced_Graphene_OxideLiI_Composite_Lithium_Ion_B_reactions.json,Reduced Graphene Oxide/LiI Composite Lithium Ion Battery Cathodes,10.1021/acs.nanolett.7b03290,Nano Letters,2017,research article,cathode,94.87,Excellent,2,12,6,13,8,20,0,2,False,True,True
Kim_et_al__-_2024_-_Fluorine-Substituted_Lithium_Chloride_Solid_Electr_reactions.json,Fluorine-Substituted Lithium Chloride Solid Electrolytes for High-Voltage All-Solid-State Lithium-Ion Batteries,10.1021/acsenergylett.3c02307,ACS Energy Letters,2024,research article,solid-state electrolyte,100.0,Excellent,6,6,2,2,5,21,0,1,False,True,True
Kinzer_et_al__-_2021_-_Operando_analysis_of_the_molten_LiLLZO_interface_reactions.json,Operando analysis of the molten Li|LLZO interface: Understanding how the physical properties of Li affect the critical current density,10.1016/j.matt.2021.04.016,Matter,2021,research-article,interface/interphase,81.08,Good,2,6,5,6,3,3,2,3,False,False,False
Kirklin_et_al__-_2014_-_High-throughput_screening_of_high-capacity_electro_reactions.json,High-throughput screening of high-capacity electrodes for hybrid Li-ion–Li–O2 cells,10.1039/c4cp03597f,Physical Chemistry Chemical Physics,2014,research-article,computational/ML,97.01,Excellent,9,3,0,0,2,3,1,1,False,True,False
Koerver_et_al__-_2018_-_Chemo-mechanical_expansion_of_lithium_electrode_ma_reactions.json,Chemo-mechanical expansion of lithium electrode materials – on the route to mechanically optimized all-solid-state batteries,10.1039/c8ee00907d,Energy & Environmental Science,2018,research-article,solid-state electrolyte,98.89,Excellent,2,10,5,8,3,0,1,1,False,False,False
Kotobuki_et_al__-_2017_-_Poly_vinylidene_fluoride_-Based_Al_Ion_Conductive__reactions.json,Poly(vinylidene fluoride)-Based Al Ion Conductive Solid Polymer Electrolyte for Al Battery,10.1149/2.1601714jes,Journal of The Electrochemical Society,2017,research-article,electrolyte (liquid/polymer),81.93,Good,1,5,4,4,10,10,0,1,False,False,False
Kovtyukhova_et_al__-_2013_-_Reversible_Intercalation_of_Hexagonal_Boron_Nitrid_reactions.json,Reversible Intercalation of Hexagonal Boron Nitride with Brønsted Acids,10.1021/ja403197h,Journal of the American Chemical Society,2013,research article,other/general,98.88,Excellent,3,10,3,6,4,3,0,2,False,False,False
Koyama_et_al__-_2012_-_Defect_Chemistry_in_Layered_Li_M_O_2_reactions.json,"Defect Chemistry in Layered Li MO2 (M= Co, Ni, Mn, and Li1/3Mn2/3) by First-Principles Calculations",10.1021/cm3018314,Chem. Mater.,2012,computational study,computational/ML,88.75,Good,4,12,0,0,1,1,2,1,False,False,False
Koyama_et_al__-_First_Principles_Calculations_of_Formation_Energie_reactions.json,First Principles Calculations of Formation Energies and Electronic Structures of Defects in Oxygen-Deficient LiMn2O4,10.1149/1.1522720,Journal of The Electrochemical Society,2003,research-article,computational/ML,100.0,Excellent,0,1,0,0,0,0,1,0,False,False,False
Krauskopf_et_al__-_2020_-_Physicochemical_Concepts_of_the_Lithium_Metal_Anod_reactions.json,Physicochemical Concepts of the Lithium Metal Anode in Solid-State Batteries,10.1021/acs.chemrev.0c00431,Chemical Reviews,2020,review,solid-state electrolyte,89.39,Good,5,6,0,0,3,9,0,0,False,False,False
Kuganathan_et_al__-_2021_-_Self-diffusion_in_garnet-type_Li7La3Zr2O12_solid_e_reactions.json,Self-diffusion in garnet-type Li7La3Zr2O12 solid electrolytes,10.1038/s41598-020-79919-2,Scientific Reports,2021,computational study,solid-state electrolyte,100.0,Excellent,1,2,0,0,2,7,3,0,False,False,False
Kuhn_et_al__-_2013_-_Single-crystal_X-ray_structure_analysis_of_the_sup_reactions.json,Single-crystal X-ray structure analysis of the superionic conductor Li10GeP2S12,10.1039/c3cp51985f,Physical Chemistry Chemical Physics,2013,research-article,solid-state electrolyte,98.15,Excellent,1,4,3,5,3,3,0,3,False,False,False
Kuhn_et_al__-_2013_-_Tetragonal_Li10GeP2S12_and_Li7GePS8___exploring_th_reactions.json,Tetragonal Li10GeP2S12 and Li7GePS8 – exploring the Li ion dynamics in LGPS Li electrolytes,,Energy & Environmental Science,2013,solid electrolyte study,solid-state electrolyte,98.31,Excellent,2,2,3,3,6,8,1,1,False,False,False
